name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
quang ninh,2024-09-05T00:00:00,30.1,39,27.1,84.01,0,0,,0,0,11.5,7.6,290,1002,99.8,10,0,0,0,,Overcast,cloudy,48825199999
quang ninh,2024-09-05T01:00:00,29.1,37.2,27.2,89.41,0,0,,0,0,15.5,7.4,241,1001.5,31.4,7.6,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48826099999"
quang ninh,2024-09-05T02:00:00,29.1,37,27.1,89,0,0,,0,0,15.8,7.6,310,1001,0,7,0,0,0,,Clear,clear-night,48825199999
quang ninh,2024-09-05T03:00:00,29.1,37,27.1,89,0,0,,0,0,13.7,5.4,310,1000,0,9,0,0,0,,Clear,clear-night,48825199999
quang ninh,2024-09-05T04:00:00,28.8,36.7,27.3,91.69,0,0,,0,0,12.2,7.4,322,1001.1,31.4,8.8,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48826099999"
quang ninh,2024-09-05T05:00:00,29.1,37,27.1,89,0,0,,0,0,14,7.6,310,1001,0,7,0,0,0,,Clear,clear-night,48825199999
quang ninh,2024-09-05T06:00:00,29.1,37,27.1,89,0,0,,0,0,15.1,7.6,320,1002,0,6,4.7,0,0,,Clear,clear-day,48825199999
quang ninh,2024-09-05T07:00:00,29.4,38.7,27.8,91.09,0,0,,0,0,16.2,6.1,322,1002.2,35.4,8.2,116.6,0.4,1,,Partially cloudy,partly-cloudy-day,"48825199999,48826099999"
quang ninh,2024-09-05T08:00:00,33.1,45.9,28.1,75.11,0,0,,0,0,17.3,11.2,330,1002,0,7,318.8,1.1,3,,Clear,clear-day,48825199999
quang ninh,2024-09-05T09:00:00,34.1,47.5,28.1,71.02,0,0,,0,0,20.5,16.6,340,1002,99.3,10,528.6,1.9,5,,Overcast,cloudy,48825199999
quang ninh,2024-09-05T10:00:00,34.3,45.8,27.1,66.19,0,0,,0,0,23,13.2,326,1001.4,80,8.4,695.7,2.5,7,,Partially cloudy,partly-cloudy-day,"48825199999,48826099999"
quang ninh,2024-09-05T11:00:00,35.1,46.9,27.1,63.37,0,0,,0,0,25.9,13,350,1001,30,10,831.3,3,8,,Partially cloudy,partly-cloudy-day,48825199999
quang ninh,2024-09-05T12:00:00,36.1,48.3,27.1,59.96,0,0,,0,0,27.4,9.4,360,1000,30,10,888,3.2,9,,Partially cloudy,partly-cloudy-day,48825199999
quang ninh,2024-09-05T13:00:00,35.9,46.5,26.2,57.37,0,0,,0,0,27.4,12.1,9,999.5,90,10,846.7,3,8,,Partially cloudy,partly-cloudy-day,"48825199999,48826099999"
quang ninh,2024-09-05T14:00:00,37.1,47.8,26.1,53.52,0.4,100,rain,0,0,26.6,7.6,30,999,90.9,10,713.3,2.6,7,,"Rain, Overcast",rain,48825199999
quang ninh,2024-09-05T15:00:00,36.1,46.4,26.1,56.53,0.1,100,rain,0,0,25.9,13,350,998,86.2,10,558.9,2,6,,"Rain, Partially cloudy",rain,48825199999
quang ninh,2024-09-05T16:00:00,35.6,46.6,26.5,59.58,0,0,,0,0,19.4,7.4,346,998.1,90,10,425.1,1.5,4,,Partially cloudy,partly-cloudy-day,"48825199999,48826099999"
quang ninh,2024-09-05T17:00:00,35.1,46.9,27.1,63.37,0,0,,0,0,16.6,9.4,200,998,98.7,10,222,0.8,2,,Overcast,cloudy,48825199999
quang ninh,2024-09-05T18:00:00,33.1,44,27.1,70.85,0,0,,0,0,14.4,7.6,200,998,98.9,10,60.8,0.2,1,,Overcast,cloudy,48825199999
quang ninh,2024-09-05T19:00:00,32.5,42.5,26.7,71.64,0,0,,0,0,11.2,3.6,320,998.8,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48826099999"
quang ninh,2024-09-05T20:00:00,32.1,44.3,28.1,79.47,0,0,,0,0,9.7,7.6,270,999,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,48825199999
quang ninh,2024-09-05T21:00:00,31.1,40.8,27.1,79.34,0,0,,0,0,11.5,9.4,140,1000,100,10,0,0,0,,Overcast,cloudy,48825199999
quang ninh,2024-09-05T22:00:00,30.2,38.7,26.7,81.73,0,0,,0,0,16.9,3.3,320,1000.3,31.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48826099999"
quang ninh,2024-09-05T23:00:00,31.1,40.8,27.1,79.34,0.4,100,rain,0,0,14.4,7.6,200,1000,100,10,0,0,0,,"Rain, Overcast",rain,48825199999
quang ninh,2024-09-06T00:00:00,30.1,39,27.1,84.01,0,0,,0,0,7.9,5.4,190,1000,100,10,0,0,0,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T01:00:00,30.9,41.9,27.9,83.91,0,0,,0,0,12.2,9.6,290,999.4,35.4,9.4,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48826099999"
quang ninh,2024-09-06T02:00:00,30.1,37.6,26.1,79.2,0,0,,0,0,26.6,16.6,300,998,100,10,0,0,0,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T03:00:00,29.1,34.7,25.1,79.07,0,0,,0,0,21.6,14.8,290,997,100,10,0,0,0,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T04:00:00,28.7,33.7,24.7,79.02,0,0,,0,0,20.5,17.1,314,998,49.7,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48826099999"
quang ninh,2024-09-06T05:00:00,30.1,35.2,24.1,70.3,0,0,,0,0,19.8,22.3,150,999,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,48825199999
quang ninh,2024-09-06T06:00:00,27.1,31.4,26.1,94.28,0,0,,0,0,23.4,7.6,300,999,30,9,2.5,0,0,,Partially cloudy,partly-cloudy-day,48825199999
quang ninh,2024-09-06T07:00:00,27.1,30.9,25.1,88.73,0,0,,0,0,26.3,12.1,294,1000,90,10,68.7,0.2,1,,Partially cloudy,partly-cloudy-day,"48825199999,48826099999"
quang ninh,2024-09-06T08:00:00,29.1,37,27.1,89,0,0,,0,0,28.8,7.6,310,1000,100,10,248.3,0.9,2,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T09:00:00,31.1,40.8,27.1,79.34,0,0,,0,0,33.8,11.2,320,1000,100,10,474.2,1.7,5,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T10:00:00,31.7,41.3,26.7,74.82,0,0,,0,0,36.7,9.6,348,1000.3,90,10,644.8,2.3,6,,Partially cloudy,partly-cloudy-day,"48825199999,48826099999"
quang ninh,2024-09-06T11:00:00,33.1,42.3,26.1,66.79,0,0,,0,0,40.7,16.6,350,999,100,10,748.2,2.7,7,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T12:00:00,33.1,42.3,26.1,66.79,0,0,,0,0,50.8,14.8,30,999,100,10,770.4,2.8,8,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T13:00:00,31.7,42,27.1,76.81,0,0,,0,0,50,11,20,998.6,93.9,10,667.7,2.4,7,,Overcast,cloudy,"48825199999,48826099999"
quang ninh,2024-09-06T14:00:00,32.1,42.5,27.1,74.96,0,0,,0,0,29.5,13,350,997,100,10,186.8,0.7,2,,Overcast,cloudy,48825199999
quang ninh,2024-09-06T15:00:00,32.1,40.8,26.1,70.67,0,0,,0,0,32.8,16.6,360,996,30,10,246.4,0.9,2,,Partially cloudy,partly-cloudy-day,48825199999
quang ninh,2024-09-06T16:00:00,32.2,40.4,25.7,68.74,0.1,100,rain,0,0,40.7,14.9,334,996,90,10,153,0.6,2,,"Rain, Partially cloudy",rain,"48825199999,48826099999"
quang ninh,2024-09-06T17:00:00,30.1,36.3,25.1,74.64,0,0,,0,0,39.2,11.2,290,996,30,10,101.2,0.4,1,,Partially cloudy,partly-cloudy-day,48825199999
quang ninh,2024-09-06T18:00:00,28.1,33.7,26.1,88.92,0,0,,0,0,36.4,16.6,330,997,0,10,34,0.1,0,,Clear,clear-day,48825199999
