name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hai phong, Viet Nam",2024-09-05T00:00:00,30.1,39,27.1,84.01,0,0,,0,0,14,7.6,290,1002,100,10,0,0,0,,Overcast,cloudy,48825199999
"Hai phong, Viet Nam",2024-09-05T01:00:00,29.1,37.2,27.2,89.32,0,0,,0,0,16.2,7.4,247,1001.4,26.6,7.3,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48823099999,48826099999"
"Hai phong, Viet Nam",2024-09-05T02:00:00,29.1,37,27.1,89,0,0,,0,0,15.8,7.6,310,1001,0,7,0,0,0,,Clear,clear-night,48825199999
"Hai phong, Viet Nam",2024-09-05T03:00:00,29.1,37,27.1,89,0,0,,0,0,14.8,5.4,310,1000,0,9,0,0,0,,Clear,clear-night,48825199999
"Hai phong, Viet Nam",2024-09-05T04:00:00,28.8,36.7,27.2,91.25,0,0,,0,0,13,7.4,320,1001.1,26.6,8.7,0,0,0,,Partially cloudy,partly-cloudy-night,"48825199999,48823099999,48826099999"
"Hai phong, Viet Nam",2024-09-05T05:00:00,29.1,37,27.1,89,0,0,,0,0,13.3,7.6,310,1001,0,7,0,0,0,,Clear,clear-night,48825199999
"Hai phong, Viet Nam",2024-09-05T06:00:00,29.1,37,27.1,89,0,0,,0,0,15.5,7.6,320,1002,0,6,4.2,0,0,,Clear,clear-day,48825199999
"Hai phong, Viet Nam",2024-09-05T07:00:00,29.5,39,27.8,90.77,0,0,,0,0,18,6,320,1002.2,30.1,8.1,115.7,0.4,1,,Partially cloudy,partly-cloudy-day,"48825199999,48823099999,48826099999"
"Hai phong, Viet Nam",2024-09-05T08:00:00,33.1,45.9,28.1,75.11,0,0,,0,0,18,11.2,330,1002,0,7,321.8,1.2,3,,Clear,clear-day,48825199999
"Hai phong, Viet Nam",2024-09-05T09:00:00,34.1,47.5,28.1,71.02,0,0,,0,0,19.4,16.6,340,1002,99.3,10,525.9,1.9,5,,Overcast,cloudy,48825199999
"Hai phong, Viet Nam",2024-09-05T10:00:00,34.4,45.9,27.1,65.8,0,0,,0,0,22.3,13.4,327,1001.4,80,8.7,698.1,2.5,7,,Partially cloudy,partly-cloudy-day,"48825199999,48823099999,48826099999"
"Hai phong, Viet Nam",2024-09-05T11:00:00,35.1,46.9,27.1,63.37,0,0,,0,0,23.4,13,350,1001,30,10,798.2,2.9,8,,Partially cloudy,partly-cloudy-day,48825199999
